,year,id,Team,RPI,SOS
404,2014,1364,Santa Barbara,0.5318,0.4747
405,2014,1320,Northern Iowa,0.5301,0.5374
406,2014,1414,California Irvine,0.5263,0.4773
407,2014,1448,Wake Forest,0.5256,0.5483
408,2014,1236,IPFW,0.5243,0.4589
409,2014,1201,Fresno State,0.5241,0.5381
410,2014,1456,William &amp; Mary,0.5231,0.4894
411,2014,1403,Texas Tech,0.5223,0.5670
412,2014,1321,Northwestern,0.5193,0.5616
413,2014,1443,Western Kentucky,0.5187,0.4877
414,2014,1221,Holy Cross,0.5177,0.4847
415,2014,1352,Robert Morris,0.5173,0.4697
416,2014,1454,Wisconsin-Milwaukee,0.5158,0.4797
417,2014,1334,Pacific,0.5146,0.5257
418,2014,1461,Wyoming,0.5142,0.5133
419,2014,1305,Nevada,0.5123,0.5285
420,2014,1176,Denver,0.5113,0.5176
421,2014,1287,Morehead State,0.5105,0.4811
422,2014,1222,Houston,0.5101,0.5171
423,2014,1345,Purdue,0.5087,0.5414
424,2014,1463,Yale,0.5082,0.4933
425,2014,1451,Weber State,0.507,0.4647
426,2014,1150,Charlotte,0.5066,0.5002
427,2014,1459,Wofford,0.5053,0.4633
428,2014,1348,Rhode Island,0.5032,0.5411
429,2014,1210,Georgia Tech,0.5017,0.5184
430,2014,1337,Pepperdine,0.5012,0.5130
431,2014,1275,Miami (Ohio),0.4987,0.5160
432,2014,1367,South Carolina Upstate,0.4982,0.4643
433,2014,1392,Stony Brook,0.4975,0.4323
434,2014,1137,Bucknell,0.496,0.4787
435,2014,1120,Auburn,0.4958,0.5288
436,2014,1380,Southern,0.4943,0.4605
437,2014,1460,Wright State,0.4939,0.4636
438,2014,1396,Temple,0.4922,0.5626
439,2014,1136,Bryant University,0.4918,0.4662
440,2014,1258,Loyola Marymount,0.4902,0.5230
441,2014,1324,Oakland,0.4898,0.5403
442,2014,1285,Montana,0.4891,0.4636
443,2014,1107,Albany,0.488,0.4497
444,2014,1114,Arkansas-Little Rock,0.4874,0.4969
445,2014,1291,Mount St. Mary's,0.486,0.4662
446,2014,1331,Oral Roberts,0.4851,0.4923
447,2014,1373,Siena,0.4838,0.4904
448,2014,1317,North Texas,0.483,0.4966
449,2014,1315,North Dakota,0.4812,0.4736
450,2014,1426,Texas-Arlington,0.4808,0.4893
451,2014,1421,NC-Asheville,0.4805,0.4673
452,2014,1213,Grand Canyon,0.4805,0.4712
453,2014,1294,Northern Colorado,0.4801,0.4454
454,2014,1130,Boston College,0.4794,0.5619
455,2014,1252,Lipscomb,0.4788,0.4609
456,2014,1440,VMI,0.4787,0.4371
457,2014,1245,Kent State,0.4784,0.4843
458,2014,1399,Tennessee Tech,0.4774,0.4686
459,2014,1296,Northern Illinois,0.4767,0.4910
460,2014,1303,Nebraska Omaha,0.4756,0.4605
461,2014,1441,Western Carolina,0.4753,0.4455
462,2014,1408,Tulane,0.4747,0.4822
463,2014,1288,Morgan State,0.474,0.4641
464,2014,1313,Norfolk State,0.4704,0.4380
465,2014,1135,Brown,0.4696,0.4453
466,2014,1389,St. Peter's,0.4683,0.4687
467,2014,1241,James Madison,0.4662,0.4944
468,2014,1119,Army,0.4649,0.4599
469,2014,1464,Youngstown State,0.4641,0.4797
470,2014,1411,Texas Southern,0.4622,0.4085
471,2014,1205,Gardner-Webb,0.4609,0.4342
472,2014,1151,Chattanooga,0.4606,0.4296
473,2014,1280,Mississippi State,0.4604,0.4971
474,2014,1319,Northern Arizona,0.4598,0.4548
475,2014,1265,Marist,0.4596,0.4888
476,2014,1282,UMKC,0.4562,0.4900
477,2014,1169,Northridge,0.4537,0.4473
478,2014,1377,South Dakota,0.4524,0.4921
479,2014,1369,Southeast Missouri State,0.4522,0.4167
480,2014,1152,Chicago State,0.4506,0.4733
481,2014,1164,Coppin State,0.4469,0.4700
482,2014,1170,Sacramento State,0.4452,0.4482
